OrderNr;Status;Employee;startmoment;Channel;RandomWaarde1;RandomWaarde2;eindmoment
Case1172;Shipment via logistics partner;Resource 2;12-1-2011 08:11;Dealer;113;215;12-1-2011 08:30
Case722;Order created;Resource 1;12-1-2011 08:40;Dealer;272;465;12-1-2011 08:45
Case722;Shipment via logistics partner;Resource 2;12-1-2011 08:53;Dealer;138;167;12-1-2011 08:53
Case723;Order created;Resource 1;12-1-2011 08:54;Callcenter;64;122;12-1-2011 08:55
Case676;Order sent back;Resource 6;12-1-2011 08:56;Internet;61;108;12-1-2011 09:01
Case723;Request signed L1;Resource 3;12-1-2011 09:15;Callcenter;325;544;12-1-2011 09:15
Case724;Order created;Resource 1;12-1-2011 09:15;Dealer;37;64;12-1-2011 09:16
Case724;Shipment via logistics partner;Resource 2;12-1-2011 09:23;Dealer;186;364;12-1-2011 09:25
Case725;Order created;Resource 1;12-1-2011 09:26;Dealer;260;446;12-1-2011 09:27
Case726;Order created;Resource 1;12-1-2011 09:31;Dealer;230;361;12-1-2011 09:31
Case725;Missing documents requested;Resource 3;12-1-2011 09:33;Dealer;234;254;12-1-2011 09:34
Case726;Missing documents requested;Resource 2;12-1-2011 09:35;Dealer;243;410;12-1-2011 09:35
Case1116;Order created;Resource 1;12-1-2011 09:37;Internet;126;188;12-1-2011 09:37
Case1116;Missing documents requested;Resource 3;12-1-2011 09:39;Internet;132;205;12-1-2011 09:42
Case1115;Order created;Resource 1;12-1-2011 09:45;Dealer;332;660;12-1-2011 09:56
Case1115;Pick-up prepared;Resource 2;12-1-2011 09:59;Dealer;11;11;12-1-2011 10:03
Case1114;Order created;Resource 1;12-1-2011 10:09;Dealer;263;293;12-1-2011 10:10
Case1114;Missing documents requested;Resource 3;12-1-2011 10:14;Dealer;230;449;12-1-2011 10:21
Case1071;Order created;Resource 1;12-1-2011 10:23;Dealer;264;399;12-1-2011 10:26
Case1071;Request rejected L1;Resource 2;12-1-2011 10:27;Dealer;209;305;12-1-2011 10:27
Case1071;Order completed;Resource 2;12-1-2011 10:27;Dealer;303;371;12-1-2011 10:30
Case1072;Order created;Resource 1;12-1-2011 10:31;Dealer;231;365;12-1-2011 10:32
Case737;Order created;Resource 1;12-1-2011 10:34;Dealer;33;47;12-1-2011 10:40
Case1072;Missing documents requested;Resource 3;12-1-2011 10:43;Dealer;29;29;12-1-2011 10:43
Case737;Shipment via logistics partner;Resource 2;12-1-2011 10:47;Dealer;164;326;12-1-2011 10:48
Case738;Order created;Resource 1;12-1-2011 10:51;Dealer;82;110;12-1-2011 10:51
Case296;Product received;Resource 17;12-1-2011 10:52;Dealer;146;275;12-1-2011 10:52
Case281;Repairshop X - Rejected;Resource 5;12-1-2011 10:53;Dealer;12;14;12-1-2011 10:53
Case296;Reparishop X - Checking;Resource 17;12-1-2011 10:53;Dealer;10;14;12-1-2011 10:53
Case738;Shipment via logistics partner;Resource 2;12-1-2011 10:56;Dealer;144;184;12-1-2011 10:56
Case739;Order created;Resource 1;12-1-2011 10:58;Callcenter;297;547;12-1-2011 10:58
Case740;Order created;Resource 1;12-1-2011 10:59;Dealer;51;101;12-1-2011 10:59
Case191;Product received;Resource 17;12-1-2011 11:01;Dealer;211;302;12-1-2011 11:01
Case191;Reparishop X - Checking;Resource 17;12-1-2011 11:01;Dealer;31;45;12-1-2011 11:03
Case739;Request signed L1;Resource 3;12-1-2011 11:04;Callcenter;210;234;12-1-2011 11:04
Case740;Missing documents requested;Resource 2;12-1-2011 11:05;Dealer;132;196;12-1-2011 11:07
Case281;Request rejected L1;Resource 2;12-1-2011 11:10;Dealer;150;270;12-1-2011 11:10
Case281;Order completed;Resource 2;12-1-2011 11:10;Dealer;247;399;12-1-2011 11:10
Case228;Product received;Resource 17;12-1-2011 11:12;Dealer;100;154;12-1-2011 11:12
Case228;Reparishop X - Checking;Resource 17;12-1-2011 11:12;Dealer;18;36;12-1-2011 11:15
Case298;Product received;Resource 17;12-1-2011 11:16;Dealer;302;449;12-1-2011 11:16
Case298;Reparishop X - Checking;Resource 17;12-1-2011 11:17;Dealer;158;190;12-1-2011 11:17
Case676;Request signed L1;Resource 13;12-1-2011 11:17;Internet;92;138;12-1-2011 11:17
Case741;Order created;Resource 1;12-1-2011 11:24;Dealer;118;163;12-1-2011 11:25
Case1099;Order created;Resource 1;12-1-2011 11:26;Dealer;26;33;12-1-2011 11:26
Case199;Product received;Resource 17;12-1-2011 11:27;Dealer;332;441;12-1-2011 11:27
Case199;Reparishop X - Checking;Resource 17;12-1-2011 11:28;Dealer;25;48;12-1-2011 11:29
Case741;Missing documents requested;Resource 2;12-1-2011 11:30;Dealer;236;368;12-1-2011 11:31
Case1099;Request signed L1;Resource 3;12-1-2011 11:33;Dealer;143;143;12-1-2011 11:33
Case359;Product received;Resource 17;12-1-2011 11:33;Dealer;48;73;12-1-2011 11:33
Case359;Reparishop X - Checking;Resource 17;12-1-2011 11:33;Dealer;202;229;12-1-2011 11:33
Case676;Request signed L2;Resource 6;12-1-2011 11:34;Internet;138;182;12-1-2011 11:35
Case299;Product received;Resource 17;12-1-2011 11:37;Dealer;242;376;12-1-2011 11:37
Case299;Reparishop X - Checking;Resource 17;12-1-2011 11:37;Dealer;221;360;12-1-2011 11:37
Case723;Request signed L2;Resource 6;12-1-2011 11:37;Callcenter;51;98;12-1-2011 11:37
Case739;Request signed L2;Resource 6;12-1-2011 11:38;Callcenter;204;374;12-1-2011 11:38
Case1098;Order created;Resource 1;12-1-2011 11:48;Dealer;280;473;12-1-2011 11:52
Case1098;Request signed L1;Resource 3;12-1-2011 11:54;Dealer;114;182;12-1-2011 11:54
Case676;Request signed L3;Resource 7;12-1-2011 11:58;Internet;147;208;12-1-2011 11:58
Case723;Request signed L3;Resource 7;12-1-2011 11:59;Callcenter;134;197;12-1-2011 11:59
Case739;Request signed L3;Resource 7;12-1-2011 11:59;Callcenter;12;12;12-1-2011 12:07
Case1099;Request signed L2;Resource 6;12-1-2011 12:08;Dealer;75;114;12-1-2011 12:09
Case176;Shipment via forwarding company;Resource 3;12-1-2011 12:11;Dealer;136;179;12-1-2011 12:12
Case1097;Order created;Resource 1;12-1-2011 12:13;Dealer;21;34;12-1-2011 12:14
Case1210;Request signed L1;Resource 2;12-1-2011 12:19;Dealer;61;95;12-1-2011 12:19
Case907;Pick-up prepared;Resource 2;12-1-2011 12:26;Internet;160;296;12-1-2011 12:28
Case1097;Request signed L1;Resource 3;12-1-2011 12:34;Dealer;153;231;12-1-2011 12:49
Case1007;Request signed L1;Resource 2;12-1-2011 12:52;Dealer;323;474;12-1-2011 13:09
Case1158;Request signed L1;Resource 2;12-1-2011 13:11;Internet;30;41;12-1-2011 13:15
Case694;Request signed L1;Resource 2;12-1-2011 13:17;Internet;52;67;12-1-2011 13:24
Case1008;Missing documents requested;Resource 2;12-1-2011 13:26;Dealer;250;394;12-1-2011 13:28
Case1008;Request signed L1;Resource 2;12-1-2011 13:30;Dealer;308;578;12-1-2011 13:33
Case1099;Request signed L3;Resource 7;12-1-2011 13:34;Dealer;107;129;12-1-2011 13:35
Case1100;Order created;Resource 1;12-1-2011 13:36;Dealer;139;260;12-1-2011 13:36
Case1114;Canceled;Resource 13;12-1-2011 13:38;Dealer;171;241;12-1-2011 13:39
Case1101;Order created;Resource 1;12-1-2011 13:43;Dealer;193;266;12-1-2011 13:43
Case1100;Missing documents requested;Resource 2;12-1-2011 13:44;Dealer;77;150;12-1-2011 13:45
Case1101;Missing documents requested;Resource 3;12-1-2011 13:50;Dealer;205;372;12-1-2011 13:51
Case752;Order created;Resource 1;12-1-2011 13:56;Dealer;315;425;12-1-2011 13:56
Case752;Missing documents requested;Resource 2;12-1-2011 14:10;Dealer;227;321;12-1-2011 14:10
Case753;Order created;Resource 1;12-1-2011 14:10;Callcenter;34;46;12-1-2011 14:10
Case649;Product received;Resource 4;12-1-2011 14:11;Dealer;319;567;12-1-2011 14:11
Case649;Reparishop X - Checking;Resource 4;12-1-2011 14:11;Dealer;53;59;12-1-2011 14:12
Case753;Request signed L1;Resource 3;12-1-2011 14:13;Callcenter;211;383;12-1-2011 14:23
