OrderNr;Status;Employee;startmoment;Channel;RandomWaarde1;RandomWaarde2;eindmoment
Case1;Order created;Resource 1;12-12-2011 10:38;Dealer;323;326;12-12-2011 10:39
Case1;Shipment via logistics partner;Resource 2;12-12-2011 10:43;Dealer;33;52;12-12-2011 10:43
Case1;Pick-up prepared;Resource 3;12-12-2011 14:11;Dealer;102;119;12-12-2011 14:13
Case1;Product received;Resource 4;14-12-2011 10:16;Dealer;261;314;14-12-2011 10:16
Case1;Reparishop X - Checking;Resource 4;14-12-2011 10:17;Dealer;187;194;14-12-2011 10:17
Case1;Repairshop X - OK;Resource 5;15-12-2011 10:15;Dealer;286;327;15-12-2011 10:15
Case1;Request signed L1;Resource 2;15-12-2011 10:50;Dealer;28;45;15-12-2011 10:50
Case1;Request signed L2;Resource 6;15-12-2011 12:15;Dealer;99;118;15-12-2011 12:16
Case1;Request signed L3;Resource 7;15-12-2011 13:30;Dealer;263;302;15-12-2011 13:30
Case1;Special Refund issued;Resource 8;16-1-2012 11:13;Dealer;204;279;16-1-2012 11:13
Case1;Warehouse;Resource 8;16-1-2012 12:18;Dealer;189;331;16-1-2012 12:18
Case10;Order created;Resource 1;27-12-2011 08:49;Dealer;68;105;27-12-2011 08:54
Case10;Shipment via logistics partner;Resource 2;27-12-2011 08:55;Dealer;299;300;27-12-2011 08:55
Case10;Amount modified;Resource 8;23-1-2012 08:07;Dealer;291;319;23-1-2012 08:07
Case10;Special Refund issued;Resource 8;23-1-2012 08:07;Dealer;27;36;23-1-2012 08:07
Case10;Warehouse;Resource 8;23-1-2012 08:07;Dealer;168;231;23-1-2012 08:07
Case10;Product received;Resource 4;1-2-2012 08:09;Dealer;5;7;1-2-2012 08:09
Case10;Reparishop X - Checking;Resource 4;1-2-2012 08:09;Dealer;32;59;1-2-2012 08:10
Case10;Repairshop X - OK;Resource 5;1-2-2012 13:19;Dealer;296;310;1-2-2012 13:19
Case10;Request signed L1;Resource 2;1-6-2012 11:04;Dealer;100;121;1-6-2012 11:04
Case10;Request signed L2;Resource 9;1-6-2012 14:21;Dealer;136;259;1-6-2012 14:25
Case10;Request signed L3;Resource 7;1-6-2012 15:06;Dealer;42;72;1-6-2012 15:06
Case100;Order created;Resource 1;22-12-2011 10:09;Callcenter;146;250;22-12-2011 10:14
Case100;Request signed L1;Resource 3;22-12-2011 10:20;Callcenter;218;258;22-12-2011 10:21
Case100;Request signed L2;Resource 6;22-12-2011 12:11;Callcenter;263;323;22-12-2011 12:11
Case100;Order sent back;Resource 7;22-12-2011 12:49;Callcenter;243;306;22-12-2011 12:49
Case100;Request signed L1;Resource 3;23-12-2011 15:11;Callcenter;24;40;23-12-2011 15:11
Case100;Request signed L2;Resource 6;23-12-2011 16:09;Callcenter;125;206;23-12-2011 16:09
Case100;Request signed L3;Resource 10;27-12-2011 10:47;Callcenter;87;169;27-12-2011 10:47
Case100;Product checked;Resource 11;28-12-2011 09:03;Callcenter;225;338;28-12-2011 09:03
Case100;Product received;Resource 12;1-6-2012 16:30;Callcenter;26;26;1-6-2012 16:30
Case100;Payment issued;Resource 13;1-11-2012 14:50;Callcenter;113;219;1-11-2012 14:50
Case1000;Order created;Resource 1;28-12-2011 09:18;Dealer;46;86;28-12-2011 09:18
Case1000;Checked;Resource 3;28-12-2011 09:24;Dealer;83;145;28-12-2011 09:26
Case1000;Missing documents requested;Resource 3;28-12-2011 16:37;Dealer;72;125;29-12-2011 00:36
Case1000;Request signed L1;Resource 3;29-12-2011 15:53;Dealer;320;320;29-12-2011 15:53
Case1000;Order sent back;Resource 6;29-12-2011 17:06;Dealer;325;354;29-12-2011 17:06
Case1000;Request signed L1;Resource 3;30-12-2011 08:42;Dealer;84;147;30-12-2011 08:43
Case1000;Request signed L2;Resource 16;30-12-2011 11:03;Dealer;253;291;30-12-2011 11:03
Case1000;Request signed L3;Resource 10;30-12-2011 13:20;Dealer;234;391;30-12-2011 13:21
Case1000;Supplements requested;Resource 12;18-1-2012 15:25;Dealer;6;12;18-1-2012 15:25
Case1000;Product received;Resource 12;18-1-2012 15:25;Dealer;86;157;18-1-2012 15:26
Case1000;Pick-up prepared;Resource 11;1-5-2012 08:52;Dealer;196;364;1-5-2012 08:52
Case1000;Shipment via forwarding company;Resource 3;1-12-2012 13:09;Dealer;90;142;1-12-2012 13:17
